
6/10/2011 1:23:03 PM   Starting CoreControllUI:   Started
6/10/2011 1:23:03 PM   Checking VideoWallGallery:   NOT running
6/10/2011 1:23:04 PM   Starting VideoWallGallery:   Started
6/10/2011 1:23:04 PM   Checking PhotoBooth:   NOT running
6/10/2011 1:23:05 PM   Starting PhotoBooth:   Started
6/10/2011 1:23:05 PM   Checking CoreControllUI:   Alredy running
6/10/2011 1:23:05 PM   Checking VideoWallGallery:   Alredy running
6/10/2011 1:23:07 PM   Checking PhotoBooth:   NOT running
6/10/2011 1:23:08 PM   Starting PhotoBooth:   Started
6/10/2011 1:23:08 PM   Checking CoreControllUI:   Alredy running
6/10/2011 1:23:08 PM   Checking VideoWallGallery:   Alredy running
6/10/2011 1:23:10 PM   Checking PhotoBooth:   NOT running
6/10/2011 1:23:11 PM   Starting PhotoBooth:   Started
6/10/2011 1:23:11 PM   Checking CoreControllUI:   Alredy running
6/10/2011 1:23:11 PM   Checking VideoWallGallery:   Alredy running
6/10/2011 1:23:13 PM   Checking PhotoBooth:   NOT running
6/10/2011 1:23:14 PM   Starting PhotoBooth:   Started
6/10/2011 1:23:14 PM   Checking CoreControllUI:   Alredy running
6/10/2011 1:23:14 PM   Checking VideoWallGallery:   Alredy running
6/10/2011 1:23:16 PM   Checking PhotoBooth:   NOT running
6/10/2011 1:23:17 PM   Starting PhotoBooth:   Started
6/10/2011 1:23:17 PM   Checking CoreControllUI:   Alredy running
6/10/2011 1:23:17 PM   Checking VideoWallGallery:   Alredy running
6/10/2011 1:23:19 PM   Checking PhotoBooth:   NOT running
6/10/2011 1:23:20 PM   Starting PhotoBooth:   Started
6/10/2011 1:23:20 PM   Checking CoreControllUI:   Alredy running
6/10/2011 1:23:20 PM   Checking VideoWallGallery:   Alredy running
6/10/2011 1:23:22 PM   Checking PhotoBooth:   NOT running
6/10/2011 1:23:23 PM   Starting PhotoBooth:   Started
6/10/2011 1:23:23 PM   Checking CoreControllUI:   Alredy running
6/10/2011 1:23:23 PM   Checking VideoWallGallery:   Alredy running
6/10/2011 1:23:25 PM   Saving List
6/10/2011 1:23:25 PM   ********* SESSION FINISHED *********
6/10/2011 1:24:34 PM   ********* SESSION STARTED *********
6/10/2011 1:24:34 PM   Loading saved list
6/10/2011 1:24:34 PM   Checking PhotoBooth:   NOT running
6/10/2011 1:24:35 PM   Starting PhotoBooth:   Started
6/10/2011 1:25:04 PM   Checking PhotoBooth:   NOT running
6/10/2011 1:25:04 PM   Starting PhotoBooth:   Started
6/10/2011 1:25:52 PM   Checking PhotoBooth:   NOT running
6/10/2011 1:25:53 PM   Starting PhotoBooth:   Started
6/10/2011 1:26:06 PM   Checking PhotoBooth:   NOT running
6/10/2011 1:26:07 PM   Starting PhotoBooth:   Started
6/10/2011 1:26:17 PM   Checking PhotoBooth:   Alredy running
6/10/2011 1:26:34 PM   Checking PhotoBooth:   NOT running
6/10/2011 1:26:34 PM   Starting PhotoBooth:   Started
6/10/2011 1:26:56 PM   Saving List
6/10/2011 1:26:56 PM   ********* SESSION FINISHED *********
6/10/2011 1:27:06 PM   ********* SESSION STARTED *********
6/10/2011 1:27:06 PM   Loading saved list
6/10/2011 1:27:53 PM   Checking CoreControllUI\:   NOT running
6/10/2011 1:27:54 PM   Starting CoreControllUI\:   Started
6/10/2011 1:27:59 PM   Checking VideoWallGallery:   NOT running
6/10/2011 1:27:59 PM   Starting VideoWallGallery:   Started
6/10/2011 1:27:59 PM   Checking PhotoBooth:   NOT running
6/10/2011 1:28:00 PM   Starting PhotoBooth:   Started
6/10/2011 1:28:01 PM   Checking VideoWallGallery:   NOT running
